ISO3,ADM0_NAME,ADM0_PCODE,ADM1_NAME,ADM1_PCODE,ADM2_NAME,ADM2_PCODE,UNIQUE,NESTING,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus
NGA,NIGERIA,,ABIA,NG001,UGWUNAGBO,NG001012,1,True,55827,55886,111713,6639,6796,7135,6971,4795,4033,3607,3395,2717,2503,1923,1653,1106,1108,653,471,322,6747,6956,7523,7059,5352,4034,3415,2992,2798,2390,1891,1540,1169,929,509,363,219,13386,13752,14658,14030,10147,8067,7022,6387,5515,4893,3814,3193,2275,2037,1162,834,541
NGA,NIGERIA,,ABIA,NG001,UKWA EAST,NG001013,1,True,45031,45724,90755,5382,5595,5681,5085,3798,3208,2928,2906,2338,2075,1462,1560,891,987,650,253,232,5601,5912,6121,5786,4371,3272,2668,2406,2238,1976,1581,1181,801,774,552,323,161,10983,11507,11802,10871,8169,6480,5596,5312,4576,4051,3043,2741,1692,1761,1202,576,393
NGA,NIGERIA,,ABIA,NG001,UKWA WEST,NG001014,1,True,67657,69002,136659,7811,8002,8765,8020,5927,5018,4523,4221,3472,3137,2440,1904,1398,1188,926,578,327,8024,8337,8971,8628,6604,5264,4474,3876,3491,3053,2387,1945,1427,1105,731,481,204,15835,16339,17736,16648,12531,10282,8997,8097,6963,6190,4827,3849,2825,2293,1657,1059,531
NGA,NIGERIA,,ABIA,NG001,UMUAHIA NORTH,NG001015,1,True,158870,161062,319932,16786,16648,19978,19383,15030,12164,10243,9767,7911,7362,5537,5871,3577,3645,2256,1806,906,17433,17041,20297,20489,16842,12818,10188,8653,8041,7718,5754,5421,3240,3344,1712,1498,573,34219,33689,40275,39872,31872,24982,20431,18420,15952,15080,11291,11292,6817,6989,3968,3304,1479
NGA,NIGERIA,,ABIA,NG001,UMUAHIA SOUTH,NG001016,1,True,101375,98007,199382,10022,10087,13954,12942,8752,6956,6232,5979,4906,4761,3724,4182,2572,2688,1687,1220,711,10406,10702,12043,11856,10006,7533,6038,5273,4973,4569,3443,3548,2109,2367,1389,1244,508,20428,20789,25997,24798,18758,14489,12270,11252,9879,9330,7167,7730,4681,5055,3076,2464,1219
NGA,NIGERIA,,ABIA,NG001,Umu-Nneochi,NG001017,1,True,127401,127657,255058,13792,14810,16486,15076,10915,9268,8436,8084,6567,6099,4461,4307,3248,2644,1526,1060,622,14280,15617,17357,16214,12576,9197,7425,6714,6340,5565,4588,3690,2787,2341,1496,955,515,28072,30427,33843,31290,23491,18465,15861,14798,12907,11664,9049,7997,6035,4985,3022,2015,1137
NGA,NIGERIA,,ADAMAWA,NG002,DEMSA,NG002001,1,True,144840,146514,291354,25261,21528,18397,15490,12714,10768,8703,7113,5802,4502,3625,3264,2568,1896,1637,987,585,26393,22439,18551,16053,12094,10211,8958,7716,5985,4817,3448,3360,2001,1822,1313,884,469,51654,43967,36948,31543,24808,20979,17661,14829,11787,9319,7073,6624,4569,3718,2950,1871,1054
NGA,NIGERIA,,ADAMAWA,NG002,FUFORE,NG002002,1,True,119794,122089,241883,20913,18633,15365,12441,10161,8143,7415,5612,5423,3311,3526,2186,2239,1495,1634,733,564,21581,18972,14932,12442,9342,8046,7412,6607,5573,4074,3639,2845,2233,1774,1390,743,484,42494,37605,30297,24883,19503,16189,14827,12219,10996,7385,7165,5031,4472,3269,3024,1476,1048
NGA,NIGERIA,,ADAMAWA,NG002,GANYE,NG002003,1,True,110754,113312,224066,19397,16711,13374,11080,9630,7967,6954,5559,5143,3435,3144,2226,2235,1507,1242,627,523,20646,17139,13643,11944,8895,7576,7090,6366,4886,3948,3037,2601,1897,1420,1118,666,440,40043,33850,27017,23024,18525,15543,14044,11925,10029,7383,6181,4827,4132,2927,2360,1293,963
NGA,NIGERIA,,ADAMAWA,NG002,GIREI,NG002005,1,True,89186,96116,185302,15752,13070,11237,10509,9056,6567,5422,4166,3587,2403,2114,1460,1337,903,812,454,337,16619,14083,11854,9833,9838,7902,5824,5167,3991,3083,2303,1877,1262,996,728,513,243,32371,27153,23091,20342,18894,14469,11246,9333,7578,5486,4417,3337,2599,1899,1540,967,580
NGA,NIGERIA,,ADAMAWA,NG002,GOMBI,NG002004,1,True,106531,108167,214698,18628,16058,13108,11473,9014,7508,6295,5069,4602,3367,3142,2216,2031,1582,1328,642,468,19660,16681,13660,11733,8777,7386,6338,5461,4483,3444,2796,2416,1724,1553,1038,636,381,38288,32739,26768,23206,17791,14894,12633,10530,9085,6811,5938,4632,3755,3135,2366,1278,849
NGA,NIGERIA,,ADAMAWA,NG002,GUYUK,NG002006,1,True,189363,194962,384325,33387,28039,23559,20085,16154,14141,11669,9608,8183,6047,4836,4207,3188,2621,1962,1186,491,35799,29389,24801,21101,15283,13264,12187,10318,8547,6800,5100,3719,2840,2434,1668,1144,568,69186,57428,48360,41186,31437,27405,23856,19926,16730,12847,9936,7926,6028,5055,3630,2330,1059
NGA,NIGERIA,,ADAMAWA,NG002,HONG,NG002007,1,True,107651,105155,212806,17690,15571,13500,11000,8914,7230,6220,4724,4793,3607,3742,2810,2677,1794,1840,926,613,18226,15660,13156,11255,9134,7916,6560,5472,4198,3249,2444,2443,1606,1675,1104,705,352,35916,31231,26656,22255,18048,15146,12780,10196,8991,6856,6186,5253,4283,3469,2944,1631,965
NGA,NIGERIA,,ADAMAWA,NG002,JADA,NG002008,1,True,100707,97412,198119,16321,15328,11515,9859,8423,7133,6564,4951,4943,3216,3323,2314,2393,1551,1546,743,584,16855,15127,11418,9337,7188,6473,6349,5738,4567,3433,2705,2481,1931,1460,1184,736,430,33176,30455,22933,19196,15611,13606,12913,10689,9510,6649,6028,4795,4324,3011,2730,1479,1014
